YEAR,STATEFIP,FEMALE,AGE,HISPANIC,ASIAN,BLACK,PACIFICISLANDER,WHITE,COLLEGE,INCOME
2018,15,0,35,0,0,0,1,0,0,8000
2018,15,0,22,1,0,0,0,0,0,26000
2018,15,0,33,0,0,1,0,0,0,21500
2018,15,0,92,0,1,0,0,0,0,8600
2018,15,0,23,1,0,0,0,1,0,25000
2018,15,1,19,0,0,1,0,0,0,0
2018,15,1,28,1,0,0,0,1,0,30400
2018,15,1,38,0,0,0,0,1,0,13700
2018,15,0,23,1,0,0,0,0,0,26600
2018,15,0,19,0,0,0,0,1,0,8000
2018,15,0,43,0,1,0,0,0,0,16200
2018,15,1,90,0,1,0,0,0,0,0
2018,15,0,25,0,0,1,0,0,0,0
2018,15,0,18,0,0,0,0,1,0,6000
2018,15,0,76,0,0,0,0,1,0,0
2018,15,0,96,0,1,0,0,0,0,27600
2018,15,0,77,0,0,0,0,1,1,6700
2018,15,0,69,0,1,0,0,0,1,9300
2018,15,0,37,0,0,0,1,0,0,5000
2018,15,0,20,0,0,0,0,1,0,30000
2018,15,1,25,1,0,0,0,0,0,29000
2018,15,0,38,0,0,0,1,0,0,0
2018,15,0,22,0,1,0,0,0,0,0
2018,15,0,22,0,1,0,0,0,0,0
2018,15,0,22,0,0,1,0,0,0,22000
2018,15,0,20,0,0,0,0,1,0,24000
2018,15,1,66,1,1,0,0,0,0,0
2018,15,1,20,0,1,0,0,0,0,8000
2018,15,0,18,0,0,0,0,1,0,8000
2018,15,0,90,0,1,0,0,0,0,0
2018,15,1,90,0,1,0,0,0,0,10100
2018,15,1,96,0,0,0,0,1,0,0
2018,15,0,85,0,1,0,0,0,0,0
2018,15,0,22,0,1,0,0,0,0,0
2018,15,0,66,0,1,0,0,0,0,10600
2018,15,0,20,0,0,0,0,1,0,30000
2018,15,0,92,0,0,0,1,0,0,20600
2018,15,1,49,0,0,0,1,0,0,9000
2018,15,0,62,0,0,0,1,0,0,16800
2018,15,0,19,0,0,0,0,1,0,20000
2018,15,0,21,1,0,0,0,1,0,26000
2018,15,0,47,0,0,0,1,0,0,0
2018,15,1,18,1,0,0,0,0,0,4000
2018,15,1,19,0,1,1,0,1,0,0
2018,15,0,18,1,0,0,0,0,0,30000
2018,15,1,96,0,1,0,0,0,0,1700
2018,15,1,36,0,0,0,1,0,0,4300
2018,15,0,30,0,0,0,0,1,0,20000
2018,15,0,32,0,0,0,0,1,0,0
2018,15,0,26,0,1,0,0,0,0,8600
2018,15,0,33,0,0,0,0,1,0,30000
2018,15,0,21,0,0,1,0,1,0,51000
2018,15,0,61,0,1,0,0,0,0,0
2018,15,1,62,0,0,0,1,0,0,0
2018,15,1,47,0,0,0,1,1,0,6000
2018,15,0,31,0,0,1,0,0,0,0
2018,15,0,46,0,0,0,0,1,0,0
2018,15,1,49,0,0,0,1,0,0,9000
2018,15,0,19,0,1,0,0,0,0,120
2018,15,0,59,0,0,0,0,1,0,7200
2018,15,0,18,1,0,1,0,1,0,40000
2018,15,0,19,0,0,0,0,1,0,25000
2018,15,0,85,0,1,0,0,0,0,0
2018,15,1,55,0,0,0,0,1,1,0
2018,15,0,20,1,0,0,0,1,0,20400
2018,15,1,66,1,1,0,0,0,0,0
